"Series";"Time";"Value"
"Potència activa";"2019-08-21T02:00:00+02:00";1184000
"Potència activa";"2019-08-21T14:00:00+02:00";694000
"Potència activa";"2019-08-22T02:00:00+02:00";1164000
"Potència activa";"2019-08-22T14:00:00+02:00";673000
"Potència activa";"2019-08-23T02:00:00+02:00";1196000
"Potència activa";"2019-08-23T14:00:00+02:00";690000
"Potència activa";"2019-08-24T02:00:00+02:00";1031000
"Potència activa";"2019-08-24T14:00:00+02:00";691000
"Potència activa";"2019-08-25T02:00:00+02:00";946000
"Potència activa";"2019-08-25T14:00:00+02:00";708000
"Potència activa";"2019-08-26T02:00:00+02:00";1955000
"Potència activa";"2019-08-26T14:00:00+02:00";778000
"Potència activa";"2019-08-27T02:00:00+02:00";1588000
"Potència activa";"2019-08-27T14:00:00+02:00";736000
"Potència activa";"2019-08-28T02:00:00+02:00";1649000
"Potència activa";"2019-08-28T14:00:00+02:00";775000
"Potència activa";"2019-08-29T02:00:00+02:00";1751000
"Potència activa";"2019-08-29T14:00:00+02:00";813000
"Potència activa";"2019-08-30T02:00:00+02:00";1828000
"Potència activa";"2019-08-30T14:00:00+02:00";818000
"Potència activa";"2019-08-31T02:00:00+02:00";1075000
"Potència activa";"2019-08-31T14:00:00+02:00";764000
"Potència activa";"2019-09-01T02:00:00+02:00";1007000
"Potència activa";"2019-09-01T14:00:00+02:00";797000
"Potència activa";"2019-09-02T02:00:00+02:00";2153000
"Potència activa";"2019-09-02T14:00:00+02:00";862000
"Potència activa";"2019-09-03T02:00:00+02:00";2104000
"Potència activa";"2019-09-03T14:00:00+02:00";791000
"Potència activa";"2019-09-04T02:00:00+02:00";2073000
"Potència activa";"2019-09-04T14:00:00+02:00";738000
"Potència activa";"2019-09-05T02:00:00+02:00";2132000
"Potència activa";"2019-09-05T14:00:00+02:00";755000
"Potència activa";"2019-09-06T02:00:00+02:00";1910000
"Potència activa";"2019-09-06T14:00:00+02:00";799000
"Potència activa";"2019-09-07T02:00:00+02:00";1123000
"Potència activa";"2019-09-07T14:00:00+02:00";736000
"Potència activa";"2019-09-08T02:00:00+02:00";921000
"Potència activa";"2019-09-08T14:00:00+02:00";718000
"Potència activa";"2019-09-09T02:00:00+02:00";2316000
"Potència activa";"2019-09-09T14:00:00+02:00";824000
"Potència activa";"2019-09-10T02:00:00+02:00";2317000
"Potència activa";"2019-09-10T14:00:00+02:00";762000
"Potència activa";"2019-09-11T02:00:00+02:00";1916000
"Potència activa";"2019-09-11T14:00:00+02:00";757000
"Potència activa";"2019-09-12T02:00:00+02:00";2000000
"Potència activa";"2019-09-12T14:00:00+02:00";768000
"Potència activa";"2019-09-13T02:00:00+02:00";1795000
"Potència activa";"2019-09-13T14:00:00+02:00";814000
"Potència activa";"2019-09-14T02:00:00+02:00";1125000
"Potència activa";"2019-09-14T14:00:00+02:00";861000
"Potència activa";"2019-09-15T02:00:00+02:00";1010000
"Potència activa";"2019-09-15T14:00:00+02:00";756000
"Potència activa";"2019-09-16T02:00:00+02:00";2497000
"Potència activa";"2019-09-16T14:00:00+02:00";774000
"Potència activa";"2019-09-17T02:00:00+02:00";2646000
"Potència activa";"2019-09-17T14:00:00+02:00";855000
"Potència activa";"2019-09-18T02:00:00+02:00";2608000
"Potència activa";"2019-09-18T14:00:00+02:00";847000
"Potència activa";"2019-09-19T02:00:00+02:00";2631000
"Potència activa";"2019-09-19T14:00:00+02:00";835000
"Potència activa";"2019-09-20T02:00:00+02:00";2408000
"Potència activa";"2019-09-20T14:00:00+02:00";904000
"Potència activa";"2019-09-21T02:00:00+02:00";1166000
"Potència activa";"2019-09-21T14:00:00+02:00";899000
"Potència activa";"2019-09-22T02:00:00+02:00";1146000
"Potència activa";"2019-09-22T14:00:00+02:00";818000
"Potència activa";"2019-09-23T02:00:00+02:00";2425000
"Potència activa";"2019-09-23T14:00:00+02:00";805000
"Potència activa";"2019-09-24T02:00:00+02:00";2521000
"Potència activa";"2019-09-24T14:00:00+02:00";799000
"Potència activa";"2019-09-25T02:00:00+02:00";2675000
"Potència activa";"2019-09-25T14:00:00+02:00";835000
"Potència activa";"2019-09-26T02:00:00+02:00";2309000
"Potència activa";"2019-09-26T14:00:00+02:00";787000
"Potència activa";"2019-09-27T02:00:00+02:00";2240000
"Potència activa";"2019-09-27T14:00:00+02:00";842000
"Potència activa";"2019-09-28T02:00:00+02:00";1174000
"Potència activa";"2019-09-28T14:00:00+02:00";850000
"Potència activa";"2019-09-29T02:00:00+02:00";1014000
